Time,Mean RTT,Std Dev,Elevation,State
Thu Mar 12 16:15:31 2026,26.8,28.077749197540747,9.8,0
Thu Mar 12 16:16:08 2026,23.5,9.749358953285082,8.5,0
Thu Mar 12 16:25:31 2026,18.0,0.5577733510227174,0.6666666666666679,0
Thu Mar 12 16:26:05 2026,18.0,0.7370277311900887,1.0,0
Thu Mar 12 16:26:50 2026,17.683333333333334,0.43748015828022285,0.6833333333333336,0
Thu Mar 12 16:27:40 2026,18.033333333333335,0.4582575694955844,0.7000000000000028,0
Thu Mar 12 16:28:31 2026,19.116666666666667,1.406433629985985,1.4499999999999993,0
Thu Mar 12 16:29:57 2026,40.0,0.0,0.0,0
Thu Mar 12 21:16:38 2026,114.54166666666667,118.40912332295646,89.54166666666667,1
Thu Mar 12 21:16:52 2026,129.92592592592592,120.51656079814009,104.5925925925926,1
Thu Mar 12 21:17:11 2026,103.5625,100.80464252632966,72.89583333333333,1
Thu Mar 12 21:17:25 2026,51.25925925925926,31.899834659495575,26.59259259259259,1
Thu Mar 12 21:17:44 2026,107.3125,113.97917809053742,79.64583333333333,1
Thu Mar 12 21:17:59 2026,102.14814814814815,67.4935956927293,73.48148148148148,1
Thu Mar 12 21:18:13 2026,31.037037037037038,10.226381333172931,11.037037037037038,0
Thu Mar 12 21:18:33 2026,33.03703703703704,12.153792726577311,12.037037037037038,0
Thu Mar 12 21:18:59 2026,38.907407407407405,10.01268057469174,16.407407407407405,0
Thu Mar 12 21:19:41 2026,270.31481481481484,298.7061651755025,250.31481481481484,1
Thu Mar 12 21:20:02 2026,434.93333333333334,301.1713724037455,304.93333333333334,1
Thu Mar 12 21:20:26 2026,465.73809523809524,269.34172925891266,312.73809523809524,1
Fri Mar 13 11:18:44 2026,169.73809523809524,124.4982902012656,124.07142857142858,1
Fri Mar 13 23:30:17 2026,28.433333333333334,9.077199763999664,9.100000000000001,0
Fri Mar 13 23:30:42 2026,45.53333333333333,29.47737362038137,31.866666666666667,0
Fri Mar 13 23:31:25 2026,53.86666666666667,9.885117882734406,10.533333333333331,0
Thu Mar 26 13:29:12 2026,142.5,26.014419078657127,36.5,1,35.4
Thu Mar 26 13:29:47 2026,109.33333333333333,59.63593249413012,73.33333333333333,1,31.2
Thu Mar 26 13:30:07 2026,108.9,24.154042679803684,26.400000000000006,1,40.4
Thu Mar 26 13:30:38 2026,330.2,182.39817250546488,158.2,1,94.0
Thu Mar 26 13:31:07 2026,40.3,9.241452507287176,13.299999999999997,0,48.7
Thu Mar 26 13:31:30 2026,51.66666666666667,7.6652172542959,10.666666666666671,0,2.08
Thu Mar 26 13:32:05 2026,103.83333333333333,21.30414670120976,16.33333333333333,1,107.0
Thu Mar 26 13:32:35 2026,62.93333333333333,21.08016445223645,17.93333333333333,1,108.0
Thu Mar 26 13:32:54 2026,38.13333333333333,12.444722219122093,22.133333333333333,0,88.8
Thu Mar 26 13:33:27 2026,91.1,7.7985753684745385,13.099999999999994,1,40.3
Thu Mar 26 13:34:00 2026,87.83333333333333,19.42721458847528,23.83333333333333,1,81.5
Thu Mar 26 13:34:20 2026,144.46666666666667,50.97476499864091,77.8,1,102.0
Thu Mar 26 13:34:52 2026,500.3333333333333,276.94387718653593,388.3333333333333,1,16.7
Thu Mar 26 13:35:27 2026,1239.6000000000001,257.2570180448598,358.60000000000014,1,83.9
Thu Mar 26 13:35:47 2026,32.33333333333333,2.573367875415837,4.333333333333329,0,58.7
Thu Mar 26 13:36:19 2026,91.4,11.51308434395888,16.400000000000006,1,85.9
Thu Mar 26 13:36:48 2026,108.39999999999999,21.90525051214891,28.066666666666663,1,91.8
Thu Mar 26 13:37:12 2026,108.8399777730306,7.900478622149022,9.506644439697268,1,106.0
Thu Mar 26 13:37:41 2026,151.36666666666667,8.357564770247901,14.033333333333331,1,98.8
Thu Mar 26 13:38:11 2026,343.1,289.49568409755454,288.7666666666667,1,105.0
Thu Mar 26 13:38:30 2026,50.96666666666667,9.22460477924845,7.300000000000004,0,97.4
Thu Mar 26 13:39:02 2026,121.03333333333333,16.42437213411825,18.03333333333333,1,96.9
Thu Mar 26 13:39:31 2026,62.666666666666664,18.579558659989747,29.666666666666664,1,109.0
